commodity,cfg,site,rule_name,rule_type,distribution_list,effective_date,email_ids,frequency,last_updated,rule_settings_id,status
MECHANICAL,1DC11_ASSY,EMFP,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
Graphic / Comm,DBNULL,QUANTA,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
Graphic / Comm,DBNULL,QUANTA,hjo,Severe STBLL,RSCP VP,2019-07-03,,Daily,2019-07-03,b22069fd-9943-4df7-b30c-4e095dc283b0,Draft
Graphic / Comm,DBNULL,QUANTA,zjzvmj,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,716b0e5f-578d-4ea2-8056-157770dc8151,Active
efgh25,DBNULL,CCC,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh17,DBNULL,EMFP,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh28,DBNULL,WISTRON CD WYSE,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh28,DBNULL,WISTRON CD WYSE,srdgwj,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,7410ce1a-6b08-44ee-97c7-fdb2881c3723,Active
efgh28,DBNULL,WISTRON CD WYSE,yzaux,High PPSL,GSM Manager,2019-07-03,,Monthly,2019-07-03,9a836a4d-1aa7-4971-81fe-7ebc60ec1150,Draft
MECHANICAL,1DC11_ASSY,BOMMRG,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh29,DBNULL,CCC,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
Mechanical,DBNULL,PEGATRON TY MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
Printer,DBNULL,PEGATRON SZ IOT,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh13,DBNULL,PEGATRON SZ IOT,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh13,DBNULL,PEGATRON SZ IOT,okn,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,bd75c511-2d7f-4800-8580-d444ded3e24e,Active
MECHANICAL,1CFYK_CFG,BLRMRG,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh28,DBNULL,PEGATRON SZ,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh28,DBNULL,PEGATRON SZ,zwkepg,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,a15d76db-3527-46fb-83ef-bffaecc85406,Active
MECHANICAL,1C3Y7_CFG,CHNKSN,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
Memory,DBNULL,WISTRON CD,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
Memory,DBNULL,WISTRON CD,jkfbct,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,c0268baf-80ba-4b02-bf6d-44c377175be5,Active
MECHANICAL,1C3Y7_CFG,CCC-SH,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh7,DBNULL,BRH,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
BATTERY,DBNULL,LAX,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
Networking,DBNULL,VIRTUAL,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh25,DBNULL,PEGATRON SZ,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh25,DBNULL,PEGATRON SZ,ifzhv,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,5b06a4f6-bbe0-4bb8-a885-298a69c1923f,Active
PROCESSOR,DBNULL,Pegatron TY,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
Networking,DBNULL,WISTRON CD,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
Optical,DBNULL,VIRTUAL,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
LCD,DBNULL,PEGATRON TY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
MECHANICAL,1CRPK - L11,NRT-FDX,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
MECHANICAL,1CMYH,BRH,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
BATTERY,DBNULL,Pegatron TY,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh13,DBNULL,PEGATRON TY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh21,DBNULL,EMFP,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
SOFTWARE,SFT_CFG,LAX,Rule no 1,High PPS,Lahari_Boorla@Dellteam.com,2019-08-27,,Weekly,2019-08-27,9ae4f315-6c2f-4fbe-be0d-d7d502137428,Draft
SOFTWARE,SFT_CFG,LAX,Rule01,Long Term Gap Out,saptagiri_chatarjee@Dellteam.com,2019-08-05,,Daily,2019-08-05,7fe1514b-76a6-4eb3-aa03-a3af4d9f8c9b,Draft
Retired,DBNULL,FOXCONN MX,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
Software,DBNULL,WISTRON ZS,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
MECHANICAL,1C3Y7_CFG,Wistron ZS,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
BATTERY,DBNULL,CCC-BJ,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
MECHANICAL,1C4T8_CFG,Wistron ZS,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh25,DBNULL,FOXCONN MX,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh25,DBNULL,FOXCONN MX,fzg,Severe STBLL,WWP SVP,2019-07-03,,Weekly,2019-07-03,75e6486b-6809-4239-acc7-b028756f58cb,Draft
MECHANICAL,1D8PG_CFG,CCC-SH,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
MECHANICAL,1D8PG_CFG,ICCMRG,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh32,DBNULL,COMPAL CD,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
MECHANICAL,1CRPK - L11,BLRMRG,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh11,DBNULL,BRH,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh26,DBNULL,COMPAL KS,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
Optical,DBNULL,FOXCONN MX,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
MECHANICAL,1CRPK - L11,CCC-BJ,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh7,DBNULL,EMFP,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
MECHANICAL,1C4T8_CFG,EMFP,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
CFI,DBNULL,PEGATRON TY MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
CFI,DBNULL,PEGATRON TY MOBILITY,ogitvr,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,be8bd3dc-b91a-4157-8c71-481e15ec33e6,Active
efgh22,DBNULL,QUANTA MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh22,DBNULL,QUANTA MOBILITY,gpuwp,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,992f97fc-8235-4917-b95c-5fd11b2874d7,Active
PROCESSOR,DBNULL,Compal CD,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh13,DBNULL,COMPAL KS MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh13,DBNULL,COMPAL KS MOBILITY,mvch,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,6b1776b8-d3b4-4495-8055-c03a4e632ec1,Active
ISG PERIPHERAL,DBNULL,PEGATRON CQ,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
MECHANICAL,1C3Y7_CFG,CCC,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh,DBNULL,QUANTA,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh20,DBNULL,PEGATRON SZ MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh20,DBNULL,PEGATRON SZ MOBILITY,kqsjf,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,37a9b2da-122e-4123-9949-4e19e14c3829,Active
efgh10,DBNULL,PEGATRON TY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh23,DBNULL,PEGATRON TY MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh7,DBNULL,PEGATRON TY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh23,DBNULL,INVENTEC WYSE,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh23,DBNULL,INVENTEC WYSE,fusur,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,7b776514-28f6-4e6d-97a2-b4898613ef6a,Active
efgh23,DBNULL,INVENTEC WYSE,xipzr,High PPSL,GSM Manager,2019-07-03,,Monthly,2019-07-03,b02e358a-a035-4d1a-b563-71abbf2c6756,Draft
MECHANICAL,1DC11_ASSY,WISTRON PH,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh11,DBNULL,PEGATRON TY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh11,DBNULL,APCC,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh27,DBNULL,PEGATRON SZ MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh27,DBNULL,PEGATRON SZ MOBILITY,owotwu,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,fcb3cd9c-8880-4a3c-985e-d5f114a533cf,Active
MECHANICAL,1CMYH,TIL,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
Monitor,DBNULL,WISTRON CD WYSE,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
Battery,DBNULL,PEGATRON SZ MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh25,DBNULL,WISTRON CD WYSE,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh25,DBNULL,WISTRON CD WYSE,iqlg,High PPSL,GOE,2019-07-03,,Daily,2019-07-03,4ee768d5-9cf3-464f-bba0-5308a60de78f,Draft
efgh25,DBNULL,WISTRON CD WYSE,oegyy,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,fd9d4f3b-0c5b-4465-b04d-99b791f63693,Active
PROCESSOR,DBNULL,DBI,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh22,DBNULL,INVENTEC WYSE,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh22,DBNULL,INVENTEC WYSE,jbqki,Severe STBLL,GOE,2019-07-03,,Daily,2019-07-03,21694252-89e2-442c-a1f5-59bfdc30cb9e,Draft
efgh22,DBNULL,INVENTEC WYSE,jxbjt,Severe STBL,GOE,2019-06-02,,Daily,2019-06-02,f4a223c5-e6aa-4e1b-928c-b70936677faa,Draft
efgh25,DBNULL,COMPAL TY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh25,DBNULL,COMPAL TY,ycg,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,315871a0-13ad-48cb-a4e6-4eeb4fcde25c,Active
MECHANICAL,1CMYH,Wistron ZS,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh10,DBNULL,CCC6,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh14,DBNULL,BRH,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh14,DBNULL,BRH,voe,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,3d6e5eab-7ab4-4992-80b7-283a2534d008,Active
ISG PERIPHERAL,DBNULL,CCC6,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
MECHANICAL,1C3Y7_CFG,BRH,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
MECHANICAL,1D8PG_CFG,NRT-FDX,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
CFI,DBNULL,WISTRON CD WYSE,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
CFI,DBNULL,WISTRON CD WYSE,bwpxrx,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,998c6f46-320f-4e90-b6c7-a0376decaa4f,Active
efgh,DBNULL,PEGATRON TY MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh18,DBNULL,PEGATRON TY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
CFI,DBNULL,WISTRON ZS,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
CFI,DBNULL,WISTRON ZS,xyz,Severe STBL,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,910d12f9-28ec-481b-899a-44ccd3634800,Active
efgh21,DBNULL,QUANTA MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh28,DBNULL,WISTRON ZS,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh28,DBNULL,WISTRON ZS,ttrwwe,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,7285a616-560e-4b7b-8bdb-77994dcc1d60,Active
MECHANICAL,1C4T8_CFG,BLRMRG,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh20,DBNULL,PEGATRON TY MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
BATTERY,DBNULL,BLRMRG,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
efgh18,DBNULL,ICC,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh30,DBNULL,APCC,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh30,DBNULL,APCC,kcm,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,f009af8f-7c45-40fb-a8c5-5f4cd40fd433,Active
efgh30,DBNULL,APCC,lieoa,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,479ec26c-98f4-4653-9304-f606ac0925f0,Draft
ISG PERIPHERAL,DBNULL,JNB,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
ISG PERIPHERAL,DBNULL,LAX,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
LCD,DBNULL,COMPAL CD,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
Retired,DBNULL,INVENTEC WYSE,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh27,DBNULL,COMPAL KS MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh27,DBNULL,COMPAL KS MOBILITY,guoa,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,b5a8be7b-2f46-42a0-8a7b-06782df8537f,Active
efgh19,DBNULL,QUANTA,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh19,DBNULL,QUANTA,bvhwb,Severe STBL,GOE,2019-06-02,,Daily,2019-06-02,20386cfd-8422-43e9-9d08-82cfe8ae2c27,Draft
efgh27,DBNULL,WISTRON CD,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh27,DBNULL,WISTRON CD,reyuz,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,df8684ec-d86c-4e56-af30-c7a5eb36c793,Active
efgh28,DBNULL,COMPAL CD,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
ISG Peripheral,DBNULL,QUANTA MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh23,DBNULL,PEGATRON TY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh14,DBNULL,COMPAL CD,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh14,DBNULL,COMPAL CD,kkd,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,371f7ace-fbc1-4737-a9c9-a63fb5b9f11e,Active
