rule_type,rule_setting_id,year_month_bucket,status,report_date,part_num,site,commodity,current_stbl,recovery_from_stbl,platform,region,closed_date,days_open,days_to_recovery,distribution_list,dsi_1week_prior,dsi_beginning_of_the_month,exec_summary,gsm_name,is_supplier,last_updated_at,last_updated_by,lesson_learned,lesson_learned_due_date,lob,long_term_mitigation,long_term_mitigation_due_date,next_update,odm_feedback,optional_part,part_desc,pps,read_flag,recovery_to_green_dsi,repeat_offender,root_cause,root_cause_classify
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,003-0044-01,EMFP,XLOB,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,003-0044-01,XLOB,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-09-11 11:55:43.614+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,038-004-069-02,EMFP,XLOB,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,038-004-508-03,EMFP,XLOB,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,038-004-508-03,XLOB,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-09-11 12:07:03.537+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,0T6N9,EMFP,MONITOR,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,0T6N9,MONITOR,EMFP,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-09-11 12:32:10.543+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,1275K,EMFP,GRAPHIC / COMM,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,1275K,GRAPHIC / COMM,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-09-11 12:47:55.364+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,1KKGV,EMFP,SSD,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,1KKGV,SSD,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-09-11 12:17:10.028+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,1YG1V,EMFP,MONITOR,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,1YG1V,MONITOR,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-09-11 13:08:59.026+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,22M8Y,EMFP,XLOB,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,22M8Y,XLOB,EMFP,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-09-11 12:24:50.364+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,3M7K8,EMFP,MONITOR,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,3M7K8,MONITOR,EMFP,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-09-11 13:14:33.766+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,4FNJT,EMFP,MONITOR,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,4FNJT,MONITOR,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-09-11 12:38:52.817+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,5KC03,EMFP,MONITOR,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,5KC03,MONITOR,EMFP,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-09-11 12:38:49.383+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,8X63N,EMFP,XLOB,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,8X63N,XLOB,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-09-11 12:58:24.574+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,C4W6J,EMFP,SSD,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,C4W6J,SSD,EMFP,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-09-11 12:18:57.334+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,DG29K,EMFP,MEMORY,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,DG29K,MEMORY,EMFP,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-09-11 12:07:48.945+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,HYVPH,EMFP,GRAPHIC / COMM,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,HYVPH,GRAPHIC / COMM,EMFP,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-09-11 12:49:05.110+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,K38XP,EMFP,XLOB,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,K38XP,XLOB,EMFP,0.4,9999-12-31,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Guan,Huoi Ying|Kangutkar,Komal Rajendra",False,2019-09-11 12:28:44.816+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2666,2RX8,8G,DDR4,U",20,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,T5JXK,EMFP,SSD,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,T5JXK,SSD,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-09-11 12:19:05.453+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,False,,False,Rootcause1,FCA Demand Upside
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,TP9W1,EMFP,MEMORY,6.65,9999-12-31,MATIRA3CTO,EMEA,8888-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,WGCH4,EMFP,XLOB,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,True,,False,fsdfdas,testing
High PPS,25df0e9f-3ec3-4abd-bcf1-8faa5440303e,201908,open,2019-08-31,WGCH4,XLOB,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Vatel,Margaux A|Dharshan,Rashmi",False,2019-09-11 12:28:42.735+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"DIMM,16GB,2667,2RX8,8G,DDR4,NU",30,False,,False,Rootcause1,FCA Demand Upside
Severe STBL,048075a7-e45c-4167-aae8-0002d7cd3974,201910,open,2019-10-05,6YP9K,ICC,MONITOR,19.01,2019-10-01,PIONEER,APJ,9999-12-31,0,34,Lahari_Boorla@Dellteam.com,,,fsadfs,"Dharshan,Rashmi|Kajana,Kiran",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"PRC,5120,2.2,19.25MB,SKL,M0",150,True,,False,fsdfdas,PNS - Material Available in HUB
Severe STBL,048075a7-e45c-4167-aae8-0002d7cd3974,201910,open,2019-10-05,6YP9K,MONITOR,ICC,19.01,2019-10-01,PIONEER,APJ,9999-12-31,0,34,Lahari_Boorla@Dellteam.com,,,fsadfs,"Dharshan,Rashmi|Kajana,Kiran",False,2019-09-11 12:41:50.854+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"PRC,5120,2.2,19.25MB,SKL,M0",150,False,,False,Rootcause1,FCA Demand Upside
Severe STBL,048075a7-e45c-4167-aae8-0002d7cd3974,201908,open,2019-08-30,038-004-067-01,ICC,XLOB,19.01,2019-10-01,PIONEER,APJ,9999-12-31,0,34,Lahari_Boorla@Dellteam.com,,,fsadfs,"Dharshan,Rashmi|Kajana,Kiran",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"PRC,5120,2.2,19.25MB,SKL,M0",150,True,,False,fsdfdas,PNS - Material Available in HUB
